,CVE_DOC,CVE_ART,MARGEN_TOTAL_CALCULADO
187,F37414,PK14C1D1G300,1759.83
188,F37415,TT00007,1246.6
189,F37415,TT00008,1402.51
190,F37417,TU5/16X203V240W,824.79
191,F37418,TEA00023,8157.26
192,F37422,TP0001,161.74
193,F37425,TU5/16X870J127V,585.82
194,F37426,TEA00096,1294.59
195,F37429,TUA00025,7282.48
196,F37430,TP0015,2120.3
197,F37433,RP00175,653.35
198,F37434,TP0016,591.1
199,F37435,TUS00112,11485.18
200,F37436,TUA00403,2282.61
201,F37437,BB1 1/2X1/2-300W,165.0
202,F37442,BB1 1/2X1/2-300W,182.0
203,F37442,TP0025,108.27
204,F37443,TUE00146,43043.83
205,F37444,BE00011,1485.18
206,F37444,BE00012,1509.16
207,F37444,BE00013,1547.6
208,F37444,BE00015,1576.68
209,F37444,BN00243,1519.26
210,F37444,BN00244,1581.59
211,F37444,BN00245,1840.74
212,F37444,BN00246,1629.6
213,F37444,BP00249,4864.51
214,F37445,PJ140FD1A000,665.26
215,F37447,TUE00179,2973.38
216,F37449,RC00025,1187.16
217,F37450,CS58H1060A00,1154.25
218,F37451,CS58H1060A00,1154.25
219,F37455,TU5/16X870J127V,585.82
220,F37458,CBS00101,8318.65
221,F37464,TUA00427,16415.61
222,F37465,TEA00006,2530.08
223,F37467,TEE00017,2027.11
224,F37468,CS12J2025A00,576.24
225,F37469,TUE00207,435.78
226,F37470,TUE00207,435.78
227,F37471,TUE00207,435.78
228,F37472,TUE00207,435.78
229,F37473,TUE00207,435.78
230,F37474,TUE00332,519.44
231,F37475,TP0009,569.73
232,F37475,TP0010,393.8
233,F37475,TP0040,463.54
234,F37480,TEA00006,1179.76
235,F37481,CBS00056,2226.53
236,F37482,70001694,2793.81
237,F37483,70001698,2941.71
238,F37484,70001692,3005.15
239,F37485,70001690,2783.22
240,F37486,70001684,3699.86
241,F37487,P214F1AB0600,2220.81
242,F37490,CS12F1040A00,1893.48
243,F37491,TUE00339,-6217.41
244,F37492,BP00206,2088.59
245,F37493,ECQ-00972,34076.16
246,F37495,TUE00075,2383.65
247,F37498,CS12G1040A00,949.97
248,F37499,TUS00113,858.43
249,F37500,TUE00176,2038.61
250,F37502,PJ14F1L1A800,1309.32
251,F37509,TUE00132,705.22
252,F37509,TUS00005,1861.84
253,F37513,TUE00338,1016.81
254,F37514,TUE00337,2456.42
255,F37515,TUS00029,931.41
256,F37516,BB00017,1289.89
257,F37516,BB00018,911.15
258,F37516,BN00002,1079.85
259,F37516,BN00003,983.02
260,F37517,BL00038,1740.71
261,F37517,PJ31Q1G3A100,485.62
262,F37518,TUA00426,2340.12
263,F37519,PK14G1D1G300,1864.82
264,F37521,TUE00075,2325.56
265,F37522,TUE00198,1740.25
266,F37525,BC00026,1836.19
267,F37530,TUE00307,3173.29
268,F37530,TUE00308,3536.56
269,F37531,PT00082,2822.4
270,F37535,BS00006,17831.27
271,F37535,BS00008,16537.11
272,F37538,BB2X2ST,242.0
273,F37539,RP00181,4273.74
274,F37540,TUE00337,2456.42
275,F37541,TK00028,881.52
276,F37543,TP0008,301.0
277,F37543,TP0040,245.28
278,F37544,TUA00428,425.1
279,F37545,TUA00143,10163.91
280,F37547,TUA00102,884.26
281,F37553,P7J6C1D1A030,602.34
282,F37555,TUA00431,1391.83
283,F37556,TP0005,711.61
284,F37559,TUE00007,1829.74
285,F37562,CS38F1010A00,2026.12
286,F37564,WRE-2137,4904.32
287,F37565,BN00242,850.87
288,F37573,TUE00343,8119.07
289,F37578,BO00056,583.35
290,F37579,TEE00017,3887.68
291,F37580,TP0011,326.2
292,F37582,TU5/16X203V,2686.01
293,F37584,TU5/16X230MM,787.46
294,F37585,TUE00341,663.3
295,F37586,TUE00341,663.3
296,F37589,TUA00430,3406.95
297,F37594,CS14D2017B20,1402.92
298,F37602,TP0005,288.19
299,F37603,TEA00006,4719.05
300,F37604,TUE00042,0.0
301,F37605,TP0011,1631.0
302,F37606,RM00017,2005.72
303,F37607,TUA00134,7487.35
304,F37608,PT00063,1749.72
305,F37610,TUA00432,2724.47
306,F37612,BB1 1/2X1/2-300W,484.0
307,F37612,TP0001,137.6
308,F37615,TUA00371,1959.55
309,F37620,CAS00075,5775.15
310,F37620,CAS00076,10911.33
311,F37622,BB1 1/2X1/2-300W,165.0
312,F37624,TUA00175,7929.63
313,F37625,TUA00241,7424.73
314,F37626,TU5/16X230MM,787.46
315,F37628,TUA00222,1714.99
316,F37629,TUE00333,1714.24
317,F37633,TUA00421,3978.9
318,F37637,TUE00103,2202.7
319,F37639,TP0012,1654.31
320,F37642,BB1 1/2X1/2-300W,242.0
321,F37644,TUE00340,2257.93
322,F37646,BS00011,1636.14
323,F37649,TUA00124,2133.12
324,F37652,TUS00115,2270.88
325,F37655,BL00022,597.89
326,F37656,PT00047,8061.59
327,F37658,ECQ-01444,4584.37
328,F37662,TP0010,921.81
329,F37664,TUA00429,2653.78
330,F37665,TP0011,708.4
331,F37667,TUA00419,1677.89
332,F37672,BE00016,508.41
333,F37673,BL00054,1350.55
334,F37674,BO00058,3789.24
335,F37676,TUE00207,435.78
336,F37677,TUA00422,859.82
337,F37678,TUA00422,859.82
338,F37679,TUA00424,1431.38
339,F37680,TUA00424,1431.38
340,F37685,BP00089,1724.46
341,F37687,TU5/16X230MM,787.46
342,F37688,P114I1D4A000,1121.66
343,F37692,BP00257,1860.1
344,F37692,TP0001,111.08
345,F37693,TP0002,203.29
346,F37695,TP0001,118.08
347,F37697,RP00165,8788.35
348,F37698,TP0016,510.0
349,F37699,TU5/16X230MM,1599.22
350,F37700,TP0005,1779.83
351,F37701,TUA00433,11072.63
352,F37702,CBE00028,1742.29
353,F37702,TK00034,331.18
354,F37703,BP00259,395.54
355,F37703,BP00260,497.96
356,F37708,TUA00200,7254.98
357,F37710,TUE00161,3334.07
358,F37711,RP00182,5454.83
359,F37713,TUA00099,6226.16
360,F37714,PA00001,6821.36
361,F37717,TR51G1125A00,488.13
362,F37718,CS12E2040A00,1957.88
363,F37718,CS12F2040A00,1890.66
364,F37719,TK00063,1443.34
365,F37722,BL00001,528.72
366,F37722,BP00258,754.72
367,F37724,EE00003,1170.24
368,F37728,BOE00012,11420.51
369,F37728,BOE00013,16684.54
370,F37730,TP0008,480.32
371,F37730,TP0022,452.12
372,F37731,TP0001,81.04
373,F37734,BO00005,33879.12
374,F37736,TP0003,1534.31
375,F37737,TP0003,238.54
376,F37740,TEA00016,2279.32
377,F37742,RP00184,533.99
378,F37743,TEA00017,1247.03
379,F37746,BN00248,3420.34
380,F37746,BN00249,645.43
