,CVE_DOC,CVE_ART,MARGEN_TOTAL_CALCULADO
821,F38622,TP0040,527.71
822,F38625,TU5/16X215V240W,810.55
823,F38633,TUE00105,3650.1
824,F38636,70001694,1007.01
825,F38636,70001696,1636.35
826,F38636,CBE00041,4647.85
827,F38636,CBS00056,2238.28
828,F38637,RP00206,2550.69
829,F38637,RP00207,5219.59
830,F38637,RP00208,2604.26
831,F38637,TUE00061,2935.68
832,F38638,BOBINA001,26085.36
833,F38638,TEA00023,10384.38
834,F38639,PT00033,601.29
835,F38641,CS38K2025A2D,1560.03
836,F38641,TUE00366,3803.7
837,F38642,PA00008,11438.87
838,F38642,PA00009,9985.17
839,F38643,PA00005,9234.46
840,F38645,TP0002,174.86
841,F38646,TUA00464,13689.7
842,F38648,TUE00172,20088.3
843,F38649,TUE00247,2546.97
844,F38651,BP00259,395.44
845,F38651,BP00260,497.96
846,F38652,BP00259,395.44
847,F38652,BP00260,497.96
848,F38653,PJ31A1I1A400,2698.79
849,F38657,BB2X2ST,484.0
850,F38663,TUA00463,4514.03
851,F38665,RP00165,13722.5
852,F38669,TUA00436,5904.02
853,F38672,PT00047,5524.05
854,F38675,TUE00061,2295.74
855,F38683,TP0025,1146.69
856,F38688,PT00089,3688.37
857,F38690,PJ04F1H1A400,1807.92
858,F38690,PK04F1H1A400,1990.42
859,F38692,TUA00438,1130.44
860,F38698,WRE-2774,3727.64
861,F38700,RM00043,3931.14
862,F38702,TUE00369,1171.82
863,F38704,BL00059,1661.54
864,F38704,BP00239,1316.41
865,F38704,BP00263,1169.82
866,F38705,EE00063,17147.72
867,F38706,MA00021,420.69
868,F38706,P114R1AB0600,7350.71
869,F38708,CAS00068,3665.07
870,F38708,CAS00069,2421.75
871,F38708,CAS00070,3912.72
872,F38708,CAS00071,4036.43
873,F38709,70001690,3802.63
874,F38709,70001694,1706.0
875,F38711,97020238,23175.96
876,F38716,TUA00468,2200.01
877,F38727,TP0011,1703.0
878,F38727,TP0012,1276.0
879,F38736,TUE00368,7051.71
880,F38741,RPISTOLA01,1913.55
881,F38744,TUA00222,879.73
882,F38748,TP0003,1105.5
883,F38758,TP0001,411.03
884,F38758,TP0003,181.27
885,F38758,TP0005,421.52
886,F38760,TP0011,1055.4
887,F38762,ECQ-00971,2316.9
888,F38762,ECQ-00972,35514.46
889,F38763,ECQ-00971,2407.43
890,F38763,ECQ-00972,23701.82
891,F38763,ECQ-01444,8836.08
892,F38764,TP0002,184.36
893,F38771,PJ31L1H1G400,3119.16
894,F38773,TUS00125,696.45
895,F38777,TUA00175,8085.91
896,F38778,TUA00471,838.03
897,F38780,RPISTOLA01,2551.4
898,F38784,54020219,3986.01
899,F38785,93980461,1613.02
900,F38786,70001691,1287.58
901,F38789,TJ00093,603.56
902,F38791,TUA00470,4025.49
903,F38792,TUA00467,3214.2
904,F38794,TUA00453,8970.36
905,F38795,BN00264,705.26
906,F38796,TUA00469,3129.95
907,F38797,BOBINA001,26078.68
908,F38800,RP00209,1246.99
909,F38801,TP0018,410.58
910,F38803,TP0003,82.63
911,F38806,65014-40,1696.15
912,F38806,67234-15,1098.49
913,F38807,PJ06C1CHB000,630.06
914,F38809,TUA00065,2248.25
915,F38809,TUA00066,1373.07
916,F38814,TUE00081,1808.76
917,F38816,TUE00370,9732.79
918,F38817,CM65C1020B02,5506.66
919,F38821,TEA00044,3479.66
920,F38821,TEE00024,3204.81
921,F38824,AK00013,674.55
922,F38826,TUA00464,13689.7
923,F38829,TP00007,-1.62
924,F38829,TUE00372,1393.58
925,F38832,TP0002,91.36
926,F38836,TP0001,71.8
927,F38837,BO00047,2941.07
928,F38837,BO00066,7444.77
929,F38838,47980626,2690.88
930,F38841,TUE00371,1034.55
931,F38850,TUE00172,22503.48
932,F38851,TP0007,457.76
933,F38853,BN00158,637.73
934,F38854,BO00044,1542.54
935,F38857,TUE00075,3488.35
936,F38857,TUE00198,1728.79
937,F38861,TP0003,76.35
938,F38862,TUE00122,2266.15
939,F38863,TJ00081,468.12
940,F38864,TP0001,76.8
941,F38864,TP0002,92.05
942,F38867,TUE00267,-5538.7
943,F38868,TUA00472,1415.3
944,F38871,TUA00437,1484.45
945,F38874,PJ06C1CHB000,630.06
946,F38876,PT00011,14980.93
947,F38880,TUA00258,10318.75
948,F38881,BN00055,5424.38
949,F38882,ABRAZA01,1181.99
950,F38883,TUS00001,1710.97
951,F38883,TUS00002,1706.7
952,F38884,TP0007,2770.32
953,F38887,TP0016,552.8
954,F38889,CBS00043,4389.07
955,F38890,TP0005,167.59
956,F38891,TP0015,424.0
957,F38892,TUA00134,6087.15
958,F38894,BN00265,1214.74
959,F38900,RP00212,1172.58
960,F38910,BOBINA004,31738.36
961,F38912,RPISTOLA01,1770.15
962,F38913,BC00029,9700.0
963,F38914,TP00012,429.96
964,F38923,TUE00373,2112.13
965,F38924,TUA00009,2246.43
966,F38925,MA00001,2071.69
967,F38932,EE00067,3227.24
968,F38932,EE00068,1987.58
969,F38937,CBE00032,3208.44
970,F38938,BB1 1/2X1/2-300W,418.0
971,F38941,TEE00017,4054.23
972,F38946,TUE00374,1083.16
973,F38947,TUE00216,10755.51
974,F38948,CBS00075,7854.45
975,F38949,CS58K2105AA1,14831.7
976,F38950,ECQ-00972,23217.24
977,F38951,PT00090,15625.36
978,F38954,TP0025,4769.65
979,F38957,TUE00034,7520.42
980,F38958,TJ00094,798.39
981,F38959,TUA00462,973.25
982,F38959,TUE00365,815.49
983,F38961,TK00066,255.78
984,F38967,TP0004,3015.89
985,F38968,TP0016,552.9
986,F38969,TUA00249,2234.2
987,F38970,TP0003,146.35
988,F38973,RC00030,1328.51
989,F38977,TP0016,1415.4
990,F38984,CS34S2075A00,6052.99
991,F38984,CS34S2100A00,6374.0
992,F38986,TU5/16X230MM,1547.35
993,F38995,47980590,1106.23
994,F38996,93980461,806.51
995,F38996,93980465,2047.87
996,F38997,54020219,5584.85
997,F38998,PT00047,9926.9
998,F38999,P25601AB0600,553.76
999,F39004,CS12N1050A00,5011.1
1000,F39005,TUS00126,455.09
1001,F39006,BC00010,5160.75
1002,F39007,RB00003,1093.74
1003,F39007,RB00010,-495.82
1004,F39008,CS12F1040A00,920.37
1005,F39009,TP0016,1105.81
1006,F39010,CAS00084,5639.02
1007,F39010,CAS00085,738.08
1008,F39010,CAS00086,542.81
1009,F39013,BP00268,1589.3
1010,F39014,TUA00098,657.2
1011,F39016,BP00268,1666.3
1012,F39017,TUA00468,2200.01
1013,F39018,ECQ-00972,22873.85
1014,F39018,ECQ-00974,2341.18
1015,F39020,TP0011,340.6
1016,F39024,TUE00081,3683.72
1017,F39026,TUA00473,641.74
1018,F39028,BB1 1/2X1/2-300W,132.0
1019,F39029,TP0004,3088.71
1020,F39032,TUE00161,5015.87
1021,F39033,CS12J1075A00,2200.34
1022,F39034,CAE00045,2484.55
1023,F39036,TP0008,340.17
1024,F39036,TP0010,449.46
1025,F39040,TP0012,269.99
1026,F39046,CAS00063,10798.38
1027,F39051,BB1 1/2X1/2-300W,209.0
1028,F39053,TUE00376,567.59
1029,F39054,PK31A1I1A000,4129.13
1030,F39055,TUS00005,1892.09
1031,F39061,TP0003,998.88
1032,F39061,TP0008,1406.18
1033,F39063,RP00213,868.94
1034,F39065,RP00214,758.67
1035,F39065,TUA00474,3832.72
1036,F39065,TUE00094,1103.54
1037,F39066,TUA00441,1442.78
1038,F39067,TUA00027,1736.78
1039,F39070,TP00007,-7.83
1040,F39072,CS38H1020A00,921.28
1041,F39073,TU5/16X230MM,773.68
1042,F39074,TU5/16X230MM,773.68
1043,F39076,TUA00009,2460.64
1044,F39078,TP0005,166.51
1045,F39082,TUE00375,1764.75
1046,F39088,TUE00378,13063.98
1047,F39089,TP0003,76.35
1048,F39090,TUA00475,701.47
1049,F39090,TUS00127,483.82
1050,F39096,PJ31G1AB0600,702.5
1051,F39097,TUA00476,770.35
1052,F39105,TEA00105,1426.9
1053,F39114,TUA00033,3759.61
1054,F39114,TUS00001,1723.59
1055,F39114,TUS00002,3369.69
1056,F39115,TEA00017,2494.06
1057,F39116,TUE00379,675.92
1058,F39117,TUE00377,1837.32
1059,F39120,TP00008,1329.6
1060,F39120,TUE00063,3874.21
1061,F39120,TUE00129,1557.32
1062,F39120,TUE00334,1734.63
1063,F39121,RP00001,-30088.77
1064,F39124,TP0003,71.35
1065,F39125,BB1 1/2X1/2-300W,189.75
1066,F39128,BB2X2ST,242.0
1067,F39130,TUA00459,819.98
1068,F39131,TUA00459,819.98
1069,F39133,CAS00051,2765.1
1070,F39133,CBS00007,2710.76
1071,F39134,TUE00207,929.32
1072,F39135,TUE00207,929.32
1073,F39136,TUE00207,929.32
1074,F39137,TUE00207,929.32
1075,F39138,TP0011,681.2
1076,F39139,BS00006,53994.03
1077,F39139,BS00008,50832.18
1078,F39142,TP0001,307.21
1079,F39144,EE00071,885.86
1080,F39146,BC00006,1472.83
1081,F39146,BL00002,1594.8
1082,F39146,BN00145,3270.3
1083,F39146,BN00146,3292.03
1084,F39146,PT00079,802.98
1085,F39147,PT00083,4600.13
1086,F39147,TEA00100,2978.75
1087,F39150,TUE00380,4463.67
1088,F39151,TUA00053,2433.91
1089,F39152,CS58L2050A00,1476.66
1090,F39154,PRECA003,25520.89
1091,F39156,TUA00189,15965.75
1092,F39159,TP0012,1029.6
1093,F39174,ECQ-00972,35595.93
1094,F39177,TP00010,1803.56
1095,F39179,BN00266,1293.91
1096,F39181,CERAISON-14-28,5.35
1097,F39181,TP0012,1742.04
1098,F39183,TUA00247,10526.78
1099,F39184,TP0002,276.14
1100,F39188,TUE00184,2008.21
1101,F39191,TUE00382,22639.13
1102,F39199,TUA00436,4920.99
1103,F39200,AK00010,1152.44
1104,F39201,EE00063,68590.88
1105,F39203,CS58D2030A00,873.19
1106,F39204,CS12D2030A00,917.78
1107,F39208,TUA00200,21960.61
1108,F39212,TUE00383,1042.35
1109,F39213,TUA00477,744.23
1110,F39216,CS38D1017B00,1369.5
1111,F39223,CAS00013,821.62
1112,F39229,TP0016,510.0
1113,F39231,TP0025,119.09
1114,F39231,TP0026,191.91
1115,F39233,TP0011,1362.4
1116,F39235,TEA00106,551.85
1117,F39237,TP0007,1847.01
1118,F39237,TP0026,2843.63
1119,F39238,BL00060,970.39
1120,F39239,TUE00381,3411.77
1121,F39240,BP00183,1265.45
1122,F39248,BB2X2ST,242.0
1123,F39253,TP0012,720.77
1124,F39254,TP0002,184.09
1125,F39256,RP00216,2533.27
1126,F39259,TUA00175,8085.91
1127,F39260,BP00269,723.44
1128,F39265,BB2X2ST,968.28
1129,F39270,EE00072,3583.98
1130,F39271,BN00267,1448.62
1131,F39271,BN00268,1208.56
1132,F39272,RP00220,1582.0
1133,F39273,TUA00124,2917.26
1134,F39274,TP0011,3406.0
1135,F39278,TUA00478,4632.94
1136,F39281,47980590,-592.5
1137,F39281,47980626,709.39
1138,F39283,BP00259,586.21
1139,F39283,BP00260,657.83
1140,F39284,TUE00112,11556.1
1141,F39284,TUE00113,4089.55
1142,F39285,CS38H1040A11,2792.0
1143,F39291,ECQ-00972,23195.8
1144,F39291,ECQ-01444,7238.23
1145,F39294,TUA00475,701.47
1146,F39300,TUS00109,3256.75
1147,F39303,TUE00385,628.8
1148,F39306,TU5/16X215V240W,333.55
1149,F39312,70001691,1920.59
1150,F39312,70001693,3142.99
1151,F39312,70001694,2822.33
1152,F39312,70001696,4090.88
1153,F39312,70001697,3983.69
1154,F39312,70001698,3687.26
1155,F39312,70007685,15631.29
1156,F39315,TUE00207,4409.63
1157,F39320,BP00270,614.73
1158,F39320,BP00271,715.7
1159,F39320,BP00272,734.78
1160,F39320,BP00273,548.15
1161,F39324,CAS00083,6606.56
1162,F39324,CAS00084,6611.64
1163,F39324,CAS00085,780.46
1164,F39324,CAS00086,573.18
1165,F39326,TUS00001,1733.63
1166,F39327,TUA00021,10656.45
1167,F39332,TU5/16X203V240W,339.36
1168,F39334,TUE00386,1086.66
1169,F39340,CAS00073,5666.78
1170,F39340,CAS00074,5514.25
1171,F39340,RP00222,417.16
1172,F39340,TUA00057,6537.68
1173,F39342,BS00006,31983.55
1174,F39343,RPISTOLA01,2949.42
1175,F39345,TP0003,697.95
1176,F39346,TEA00107,603.16
1177,F39347,TEA00107,1206.33
1178,F39349,BN00269,788.81
1179,F39351,TP0015,436.84
1180,F39351,TP0016,591.1
1181,F39352,TP0012,295.85
1182,F39353,TUA00063,1413.34
1183,F39358,BO00067,748.43
1184,F39359,CS12C1025A00,3648.3
1185,F39361,MR8-250-11-13,3399.89
1186,F39363,TUA00463,5674.77
1187,F39364,CS12G1040A00,1424.95
1188,F39365,CBE00012,11620.48
1189,F39365,CBE00040,4853.43
1190,F39366,TUA00049,10948.33
1191,F39372,BP00259,700.24
1192,F39372,BP00260,717.66
1193,F39372,BP00274,701.56
1194,F39372,BP00275,701.29
1195,F39372,BP00276,743.19
1196,F39374,BC00010,5783.35
1197,F39376,TEA00108,449.65
1198,F39379,TUA00480,2357.99
1199,F39384,TUA00479,4841.12
1200,F39385,TEA00110,575.62
1201,F39387,TUE00258,1115.05
1202,F39388,TUE00258,1115.05
1203,F39390,BC00030,14930.23
1204,F39396,BP00277,2256.94
1205,F39396,BP00278,2375.24
1206,F39399,BN00270,1790.53
1207,F39400,BB2X2ST,648.0
1208,F39403,TP0001,153.61
1209,F39404,CS14K2040A00,1013.16
1210,F39404,CS14L2040A00,1063.35
1211,F39404,TP0006,722.57
1212,F39405,CAS00087,5180.34
1213,F39405,CAS00088,900.05
1214,F39411,TEA00109,456.27
1215,F39412,BL00061,4854.27
1216,F39420,TP0008,852.13
1217,F39420,TP0009,1263.34
1218,F39420,TP0010,898.92
1219,F39422,PJ31C1C1B000,558.07
1220,F39424,EE00071,2214.65
1221,F39425,TP0003,76.32
1222,F39426,TUA00463,2837.38
1223,F39428,RP00227,667.31
1224,F39432,TUA00481,757.23
1225,F39433,TUA00481,757.23
1226,F39436,EE00063,68590.88
1227,F39437,TUS00048,705.41
1228,F39438,TP0002,184.09
1229,F39441,TUS00113,1107.63
1230,F39442,TP0002,90.3
1231,F39444,TP0008,852.09
1232,F39447,PJ18D2E1A410,347.26
1233,F39449,TUA00482,4501.5
1234,F39450,CM10I2040A00,1926.53
1235,F39454,P25601AB0600,553.76
1236,F39455,TP0003,1488.5
1237,F39455,TP0008,1201.31
1238,F39456,EE00075,8955.12
1239,F39468,TP0002,92.05
1240,F39470,TP0001,71.8
1241,F39471,CS12N1050A00,3758.32
1242,F39490,CS58O2050A00,1335.83
1243,F39491,RP00225,1364.0
1244,F39493,TP0002,368.19
1245,F39494,CAS00083,6606.56
1246,F39494,CAS00084,4628.15
1247,F39494,CAS00085,19511.55
1248,F39494,CAS00086,573.18
1249,F39499,TUS00016,2282.9
1250,F39499,TUS00017,2228.84
1251,F39499,TUS00018,3418.35
1252,F39500,BO00066,4963.18
1253,F39503,RP00192,17449.8
1254,F39509,TP0002,207.29
1255,F39509,TP0003,243.59
1256,F39511,TEE00017,2803.9
1257,F39513,TUA00484,5514.68
1258,F39519,TUE00384,467.55
1259,F39523,TUA00483,2384.29
1260,F39524,EE00077,13102.49
1261,F39525,CBS00001,12356.38
1262,F39526,BB1 1/2X1/2-300W,184.0
1263,F39526,TP0025,228.17
1264,F39531,BP00259,546.21
1265,F39531,BP00260,657.83
1266,F39539,PJ14R1B40A00,18.99
1267,F39541,TUA00175,7832.22
1268,F39542,ECQ-00971,1181.81
1269,F39542,ECQ-00972,23182.19
1270,F39543,P231E1AB0600,900.0
1271,F39543,P231J1AB0600,426.57
1272,F39546,CBS00092,11932.46
1273,F39549,BL00062,2226.47
1274,F39550,TP0002,262.14
1275,F39554,TUE00387,3056.77
1276,F39555,TP0012,514.8
1277,F39560,TUA00325,15791.62
1278,F39564,TUA00486,1008.79
1279,F39566,RPISTOLA01,3541.82
1280,F39568,BP00279,1212.07
1281,F39569,TU5/16X203V,1621.08
1282,F39569,TUA00436,2460.49
1283,F39571,TUS00128,412.17
1284,F39571,TUS00129,431.85
1285,F39571,TUS00130,438.85
1286,F39574,TP0001,71.93
1287,F39574,TP0024,117.41
1288,F39576,EE00022,27153.66
1289,F39577,TK00028,881.52
1290,F39582,RP00223,1900.93
1291,F39584,TUE00388,5827.47
1292,F39586,BO00061,8730.14
1293,F39587,TUE00122,2561.16
1294,F39588,TP0040,281.87
1295,F39591,CAS00089,14475.29
1296,F39592,RP00165,13722.5
1297,F39595,TUE00389,5049.64
1298,F39597,TJ00037,769.55
1299,F39597,TP0022,1062.01
1300,F39597,TP0040,308.15
1301,F39598,TUA00485,958.76
1302,F39600,TUA00098,2538.78
1303,F39603,TUA00468,2820.53
1304,F39605,TP0005,1143.01
1305,F39608,TP0001,153.61
1306,F39608,TP0002,183.38
1307,F39608,TP0003,124.84
1308,F39609,TJ00095,2499.63
1309,F39609,TJ00096,2455.82
1310,F39610,TP0011,3406.0
1311,F39610,TP0012,514.8
1312,F39611,CBS00019,5759.74
1313,F39612,TUA00191,1346.9
1314,F39613,TP0022,772.75
1315,F39615,TP0008,1011.08
1316,F39615,TP0009,631.67
1317,F39615,TP0010,898.92
1318,F39618,TUE00391,14671.74
1319,F39621,TP0001,76.8
1320,F39622,TEE00012,22452.82
1321,F39624,BN00271,800.66
1322,F39625,RP00228,738.1
1323,F39627,TUA00487,4016.84
1324,F39630,TUE00390,1331.11
1325,F39631,P114Q1H90412,3219.92
1326,F39632,P251L1J1B000,5594.57
1327,F39633,CBS00001,24160.04
1328,F39634,BS00006,17722.0
1329,F39634,BS00008,16537.11
1330,F39636,TP0003,1063.72
1331,F39637,BB00103,1119.79
1332,F39642,ECQ-00972,23479.89
1333,F39643,TUE00195,399.02
1334,F39645,CBS00106,723.31
1335,F39647,TU5/16X870J127V,600.41
1336,F39649,CAE00046,736.42
1337,F39649,CM16I2090A00,595.35
1338,F39654,TUA00258,11384.19
1339,F39657,BO00061,8730.14
1340,F39659,TUE00142,1772.46
1341,F39661,TUA00490,7287.4
1342,F39661,TUA00491,13609.08
1343,F39664,BN00272,1472.33
1344,F39666,BB00102,1080.26
1345,F39671,CAS00044,5245.25
1346,F39672,CAE00045,3188.07
1347,F39673,CS12C1025A00,4904.3
1348,F39675,TUE00166,1244.62
1349,F39678,ABRAZA01,1016.15
1350,F39685,47980249,4073.29
1351,F39686,47980249,6124.21
1352,F39686,47980626,631.3
1353,F39687,TP0003,227.97
1354,F39691,TEA00095,2959.75
1355,F39696,RP00229,13688.0
1356,F39700,TUE00142,1927.57
1357,F39701,CAE00047,830.57
1358,F39701,TUE00392,1105.71
1359,F39706,TP0011,681.2
1360,F39716,BO00005,16747.9
1361,F39719,CBS00092,24892.82
1362,F39721,ABRAZA01,1016.15
1363,F39725,TUE00207,6360.01
1364,F39730,TP0012,257.4
1365,F39731,ECQ-00972,23194.18
1366,F39732,TEA00006,2359.53
1367,F39733,TUS00131,4157.7
1368,F39736,TEA00111,9451.34
1369,F39741,TUS00052,1529.41
1370,F39743,TUA00401,1612.87
1371,F39748,TUE00206,420.07
1372,F39749,TP0011,340.6
1373,F39749,TP0012,772.2
1374,F39751,TUA00489,3045.5
1375,F39752,TU5/16X870J127V,462.44
1376,F39754,CS14D2017B20,6387.73
1377,F39757,TP0016,593.0
1378,F39759,TUA00488,2983.73
1379,F39760,TP0005,1786.78
1380,F39762,TP0004,674.81
1381,F39762,TP0008,1395.87
1382,F39763,CBS00107,1079.68
1383,F39764,TUE00081,1863.57
1384,F39767,TUE00393,2053.2
1385,F39770,TUE00207,5879.51
1386,F39774,ECQ-01444,13351.5
1387,F39775,EE00077,21837.49
1388,F39776,ECQ-00971,1230.61
1389,F39776,ECQ-00974,2418.73
1390,F39776,ECQ-01444,11400.21
1391,F39777,BO00061,17460.29
1392,F39780,TP0012,352.4
1393,F39788,TUA00494,9474.78
1394,F39791,TUA00433,11245.96
1395,F39792,TU5/16X203V,748.43
1396,F39793,PT00091,1235.07
1397,F39794,CAS00083,17177.06
1398,F39794,CAS00084,6611.64
1399,F39795,PJ31A1I1A000,2487.8
1400,F39795,PJ31A1I1A400,2507.09
1401,F39801,CS58R2200A01,9519.54
1402,F39803,TUA00493,1325.07
1403,F39810,CBS00109,26372.18
1404,F39811,ECQ-00974,6067.08
1405,F39812,70001698,3806.75
1406,F39813,CAS00035,309.9
1407,F39815,RP00230,4349.11
1408,F39815,RP00231,2200.32
1409,F39816,TUA00492,10637.54
1410,F39817,TP0016,829.0
1411,F39820,TU5/16X230MM,773.77
1412,F39824,TUA00325,7920.92
1413,F39826,RB00007,9095.92
1414,F39828,TP00018,1376.51
1415,F39830,BP00006,9560.98
1416,F39830,PJ31Q1G1A400,947.83
1417,F39833,BL00002,1721.01
1418,F39833,BN00145,3248.75
1419,F39833,BN00146,3197.02
1420,F39833,PT00079,1399.82
1421,F39834,CS12F1040A00,3658.12
1422,F39834,CS12H1050A00,3683.48
1423,F39835,TUE00394,4757.41
1424,F39837,TUA00470,4025.49
1425,F39838,RB00007,13253.45
