FECHA_DOC,SUBTOTAL_PARTIDA
2022-11-10,439.66
2022-11-10,9438.8
2022-11-10,1952.0
2022-11-10,29506.0
2022-11-10,900.0
2022-11-10,945.0
2022-11-10,17486.4
2022-10-10,4717.35
2022-10-10,4850.0
2022-10-10,6764.76
